Season,Week,Game_Date,Opponent,Home_Away,Result,Points_For,Points_Against,Point_Differential,Wins_After_Game,Losses_After_Game,Ties_After_Game
2016,1,2016-09-11,HOU,Away,L,14,23,-9,0,1,0
2016,2,2016-09-19,PHI,Home,L,14,29,-15,0,2,0
2016,3,2016-09-25,DAL,Away,L,17,31,-14,0,3,0
2016,4,2016-10-02,DET,Home,W,17,14,3,1,3,0
2016,5,2016-10-09,IND,Away,L,23,29,-6,1,4,0
2016,6,2016-10-16,JAX,Home,L,16,17,-1,1,5,0
2016,7,2016-10-20,GB,Away,L,10,26,-16,1,6,0
2016,8,2016-10-31,MIN,Home,W,20,10,10,2,6,0
2016,10,2016-11-13,TB,Away,L,10,36,-26,2,7,0
2016,11,2016-11-20,NYG,Away,L,16,22,-6,2,8,0
2016,12,2016-11-27,TEN,Home,L,21,27,-6,2,9,0
2016,13,2016-12-04,SF,Home,W,26,6,20,3,9,0
2016,14,2016-12-11,DET,Away,L,17,20,-3,3,10,0
2016,15,2016-12-18,GB,Home,L,27,30,-3,3,11,0
2016,16,2016-12-24,WAS,Home,L,21,41,-20,3,12,0
2016,17,2017-01-01,MIN,Away,L,10,38,-28,3,13,0
