Season,Team,Wins,Losses,Ties,Win_Percentage,Points_For,Points_Against,Point_Differential,Passing_Yards,Rushing_Yards,Total_Offense_Yards,Passing_TDs,Rushing_TDs,Turnovers,Takeaways,Turnover_Differential,Offensive_Rank,Defensive_Rank
2022,KC,14,3,0,0.824,496,369,127,5250,1983,7233,41,18,18,19,1,1,17
2022,PHI,14,3,0,0.824,477,344,133,4364,2532,6896,25,32,19,27,8,2,6
2022,DET,9,8,0,0.529,453,427,26,4444,2193,6637,29,23,14,21,7,3,32
2022,BUF,13,3,0,0.812,455,286,169,4291,2261,6552,35,15,26,24,-2,4,1
2022,MIN,13,4,0,0.765,424,427,-3,4818,1674,6492,30,18,23,23,0,5,31
2022,MIA,9,8,0,0.529,397,399,-2,4765,1693,6458,30,12,21,14,-7,6,19
2022,SF,13,4,0,0.765,450,277,173,4049,2378,6427,30,20,17,28,11,7,2
2022,SEA,9,8,0,0.529,407,401,6,4282,2054,6336,30,12,21,23,2,8,28
2022,LAC,10,7,0,0.588,391,384,7,4791,1542,6333,26,15,18,21,3,9,20
2022,JAX,9,8,0,0.529,404,350,54,4148,2129,6277,25,16,22,26,4,10,23
2022,LV,6,11,0,0.353,395,418,-23,4182,2061,6243,28,12,21,13,-8,11,27
2022,DAL,12,5,0,0.706,467,342,125,3911,2312,6223,28,24,21,32,11,12,16
2022,CLE,7,10,0,0.412,361,381,-20,3710,2499,6209,19,19,20,19,-1,13,12
2022,CIN,12,4,0,0.75,418,322,96,4520,1552,6072,35,14,17,23,6,14,4
2022,TB,8,9,0,0.471,313,358,-45,4746,1321,6067,26,5,20,20,0,15,11
2022,GB,8,9,0,0.471,370,371,-1,3890,2130,6020,27,12,20,24,4,16,14
2022,NYG,9,7,1,0.529,365,371,-6,3431,2534,5965,17,21,13,16,3,17,26
2022,NO,7,10,0,0.412,330,345,-15,3969,1993,5962,24,12,24,13,-11,18,7
2022,DEN,5,12,0,0.294,287,359,-72,4007,1944,5951,18,11,21,21,0,19,8
2022,BAL,10,7,0,0.588,350,315,35,3202,2741,5943,19,14,21,24,3,20,9
2022,WAS,8,8,1,0.471,321,343,-22,3783,2154,5937,24,9,23,15,-8,21,3
2022,ARI,4,13,0,0.235,340,449,-109,3966,1880,5846,17,15,24,20,-4,22,22
2022,PIT,9,8,0,0.529,308,346,-38,3661,2085,5746,12,16,17,23,6,23,13
2022,NYJ,7,10,0,0.412,296,316,-20,4040,1696,5736,15,13,23,16,-7,24,5
2022,IND,4,12,1,0.235,289,427,-138,3855,1874,5729,17,8,33,20,-13,25,15
2022,NE,8,9,0,0.471,364,347,17,3815,1872,5687,19,12,23,27,4,26,10
2022,ATL,7,10,0,0.412,365,386,-21,2927,2728,5655,17,17,19,17,-2,27,25
2022,CHI,3,14,0,0.176,326,463,-137,2598,3024,5622,19,18,23,21,-2,28,29
2022,CAR,7,10,0,0.412,347,374,-27,3246,2216,5462,16,16,18,16,-2,29,21
2022,TEN,7,10,0,0.412,298,359,-61,3227,2144,5371,16,16,20,20,0,30,24
2022,LA,5,12,0,0.294,307,384,-77,3506,1676,5182,16,15,23,21,-2,31,18
2022,HOU,3,13,1,0.176,289,420,-131,3642,1485,5127,20,7,27,23,-4,32,30
