Season,Player_Name,Position,Team,Passing_Yards,Passing_TDs,Interceptions_Thrown,Rushing_Yards,Rushing_TDs,Targets,Receptions,Receiving_Yards,Receiving_TDs,Games_Played,Total_Yards,Total_TDs
2019,M.Trubisky,,CHI,3138,17,10,199,2,0,0,0,0,15,3337,19
2019,A.Robinson,,CHI,0,0,0,2,0,154,98,1147,7,16,1149,7
2019,D.Montgomery,,CHI,0,0,0,889,6,35,25,185,1,16,1074,7
2019,T.Cohen,,CHI,0,0,0,213,0,104,79,456,3,16,669,3
2019,A.Miller,,CHI,0,0,0,-1,0,85,52,656,2,16,655,2
2019,C.Daniel,,CHI,435,3,2,6,0,0,0,0,0,3,441,3
2019,T.Gabriel,,CHI,0,0,0,20,0,48,29,353,4,9,373,4
2019,J.Wims,,CHI,0,0,0,0,0,39,18,186,1,11,186,1
2019,C.Patterson,,CHI,0,0,0,103,0,17,11,83,0,12,186,0
2019,J.Holtz,,CHI,0,0,0,0,0,8,7,91,0,5,91,0
2019,J.Horsted,,CHI,0,0,0,0,0,10,8,87,1,5,87,1
2019,T.Burton,,CHI,0,0,0,0,0,24,14,84,0,8,84,0
2019,A.Shaheen,,CHI,0,0,0,0,0,14,9,74,0,7,74,0
2019,R.Ridley,,CHI,0,0,0,0,0,7,6,69,0,3,69,0
2019,B.Braunecker,,CHI,0,0,0,0,0,11,6,59,1,4,59,1
2019,M.Davis,,CHI,0,0,0,25,0,8,7,22,0,4,47,0
2019,E.Saubert,,CHI,0,0,0,0,0,3,2,21,0,2,21,0
2019,R.Nall,,CHI,0,0,0,8,0,0,0,0,0,1,8,0
