Season,Player_Name,Position,Team,Guaranteed_Money,Contract_Value,Contract_Length_Years
2025,Braxton Jones,LT,CHI,299548,3959548,4
2025,Dominique Robinson,ED,CHI,273152,3933152,4
2025,Doug Kramer,C,CHI,157812,3817812,4
2025,Elijah Hicks,S,CHI,77012,3737012,4
2025,Ja'Tyre Carter,LG,CHI,109312,3769312,4
2025,Jaquan Brisker,S,CHI,0,7971982,4
2025,Kyler Gordon,CB,CHI,0,9534620,4
2025,Trenton Gill,P,CHI,77012,3737012,4
2025,Trestan Ebner,RB,CHI,165936,3825936,4
2025,Velus Jones Jr.,WR,CHI,1111580,5405924,4
2025,Zachary Thomas,RG,CHI,191652,3851652,4
