Season,Week,Game_Date,Opponent,Home_Away,Result,Points_For,Points_Against,Point_Differential,Wins_After_Game,Losses_After_Game,Ties_After_Game
2016,1,2016-09-11,HOU,Away,L,14,23,-9,0,1,0
2016,2,2016-09-19,PHI,Home,L,14,29,-15,0,2,0
2016,3,2016-09-25,DAL,Away,L,17,31,-14,0,3,0
2016,4,2016-10-02,DET,Home,W,17,14,3,1,3,0
2016,5,2016-10-09,IND,Away,L,23,29,-6,1,4,0
2016,6,2016-10-16,JAX,Home,L,16,17,-1,1,5,0
2016,7,2016-10-20,GB,Away,L,10,26,-16,1,6,0
2016,8,2016-10-31,MIN,Home,W,20,10,10,2,6,0
2016,10,2016-11-13,TB,Away,L,10,36,-26,2,7,0
2016,11,2016-11-20,NYG,Away,L,16,22,-6,2,8,0
2016,12,2016-11-27,TEN,Home,L,21,27,-6,2,9,0
2016,13,2016-12-04,SF,Home,W,26,6,20,3,9,0
2016,14,2016-12-11,DET,Away,L,17,20,-3,3,10,0
2016,15,2016-12-18,GB,Home,L,27,30,-3,3,11,0
2016,16,2016-12-24,WAS,Home,L,21,41,-20,3,12,0
2016,17,2017-01-01,MIN,Away,L,10,38,-28,3,13,0
2017,1,2017-09-10,ATL,Home,L,17,23,-6,0,1,0
2017,2,2017-09-17,TB,Away,L,7,29,-22,0,2,0
2017,3,2017-09-24,PIT,Home,W,23,17,6,1,2,0
2017,4,2017-09-28,GB,Away,L,14,35,-21,1,3,0
2017,5,2017-10-09,MIN,Home,L,17,20,-3,1,4,0
2017,6,2017-10-15,BAL,Away,W,27,24,3,2,4,0
2017,7,2017-10-22,CAR,Home,W,17,3,14,3,4,0
2017,8,2017-10-29,NO,Away,L,12,20,-8,3,5,0
2017,10,2017-11-12,GB,Home,L,16,23,-7,3,6,0
2017,11,2017-11-19,DET,Home,L,24,27,-3,3,7,0
2017,12,2017-11-26,PHI,Away,L,3,31,-28,3,8,0
2017,13,2017-12-03,SF,Home,L,14,15,-1,3,9,0
2017,14,2017-12-10,CIN,Away,W,33,7,26,4,9,0
2017,15,2017-12-16,DET,Away,L,10,20,-10,4,10,0
2017,16,2017-12-24,CLE,Home,W,20,3,17,5,10,0
2017,17,2017-12-31,MIN,Away,L,10,23,-13,5,11,0
2018,1,2018-09-09,GB,Away,L,23,24,-1,0,1,0
2018,2,2018-09-17,SEA,Home,W,24,17,7,1,1,0
2018,3,2018-09-23,ARI,Away,W,16,14,2,2,1,0
2018,4,2018-09-30,TB,Home,W,48,10,38,3,1,0
2018,6,2018-10-14,MIA,Away,L,28,31,-3,3,2,0
2018,7,2018-10-21,NE,Home,L,31,38,-7,3,3,0
2018,8,2018-10-28,NYJ,Home,W,24,10,14,4,3,0
2018,9,2018-11-04,BUF,Away,W,41,9,32,5,3,0
2018,10,2018-11-11,DET,Home,W,34,22,12,6,3,0
2018,11,2018-11-18,MIN,Home,W,25,20,5,7,3,0
2018,12,2018-11-22,DET,Away,W,23,16,7,8,3,0
2018,13,2018-12-02,NYG,Away,L,27,30,-3,8,4,0
2018,14,2018-12-09,LA,Home,W,15,6,9,9,4,0
2018,15,2018-12-16,GB,Home,W,24,17,7,10,4,0
2018,16,2018-12-23,SF,Away,W,14,9,5,11,4,0
2018,17,2018-12-30,MIN,Away,W,24,10,14,12,4,0
2019,1,2019-09-05,GB,Home,L,3,10,-7,0,1,0
2019,2,2019-09-15,DEN,Away,W,16,14,2,1,1,0
2019,3,2019-09-23,WAS,Away,W,31,15,16,2,1,0
2019,4,2019-09-29,MIN,Home,W,16,6,10,3,1,0
2019,5,2019-10-06,OAK,Away,L,21,24,-3,3,2,0
2019,7,2019-10-20,NO,Home,L,25,36,-11,3,3,0
2019,8,2019-10-27,LAC,Home,L,16,17,-1,3,4,0
2019,9,2019-11-03,PHI,Away,L,14,22,-8,3,5,0
2019,10,2019-11-10,DET,Home,W,20,13,7,4,5,0
2019,11,2019-11-17,LA,Away,L,7,17,-10,4,6,0
2019,12,2019-11-24,NYG,Home,W,19,14,5,5,6,0
2019,13,2019-11-28,DET,Away,W,24,20,4,6,6,0
2019,14,2019-12-05,DAL,Home,W,31,24,7,7,6,0
2019,15,2019-12-15,GB,Away,L,13,21,-8,7,7,0
2019,16,2019-12-22,KC,Home,L,3,26,-23,7,8,0
2019,17,2019-12-29,MIN,Away,W,21,19,2,8,8,0
2020,1,2020-09-13,DET,Away,W,27,23,4,1,0,0
2020,2,2020-09-20,NYG,Home,W,17,13,4,2,0,0
2020,3,2020-09-27,ATL,Away,W,30,26,4,3,0,0
2020,4,2020-10-04,IND,Home,L,11,19,-8,3,1,0
2020,5,2020-10-08,TB,Home,W,20,19,1,4,1,0
2020,6,2020-10-18,CAR,Away,W,23,16,7,5,1,0
2020,7,2020-10-26,LA,Away,L,10,24,-14,5,2,0
2020,8,2020-11-01,NO,Home,L,23,26,-3,5,3,0
2020,9,2020-11-08,TEN,Away,L,17,24,-7,5,4,0
2020,10,2020-11-16,MIN,Home,L,13,19,-6,5,5,0
2020,12,2020-11-29,GB,Away,L,25,41,-16,5,6,0
2020,13,2020-12-06,DET,Home,L,30,34,-4,5,7,0
2020,14,2020-12-13,HOU,Home,W,36,7,29,6,7,0
2020,15,2020-12-20,MIN,Away,W,33,27,6,7,7,0
2020,16,2020-12-27,JAX,Away,W,41,17,24,8,7,0
2020,17,2021-01-03,GB,Home,L,16,35,-19,8,8,0
2021,1,2021-09-12,LA,Away,L,14,34,-20,0,1,0
2021,2,2021-09-19,CIN,Home,W,20,17,3,1,1,0
2021,3,2021-09-26,CLE,Away,L,6,26,-20,1,2,0
2021,4,2021-10-03,DET,Home,W,24,14,10,2,2,0
2021,5,2021-10-10,LV,Away,W,20,9,11,3,2,0
2021,6,2021-10-17,GB,Home,L,14,24,-10,3,3,0
2021,7,2021-10-24,TB,Away,L,3,38,-35,3,4,0
2021,8,2021-10-31,SF,Home,L,22,33,-11,3,5,0
2021,9,2021-11-08,PIT,Away,L,27,29,-2,3,6,0
2021,11,2021-11-21,BAL,Home,L,13,16,-3,3,7,0
2021,12,2021-11-25,DET,Away,W,16,14,2,4,7,0
2021,13,2021-12-05,ARI,Home,L,22,33,-11,4,8,0
2021,14,2021-12-12,GB,Away,L,30,45,-15,4,9,0
2021,15,2021-12-20,MIN,Home,L,9,17,-8,4,10,0
2021,16,2021-12-26,SEA,Away,W,25,24,1,5,10,0
2021,17,2022-01-02,NYG,Home,W,29,3,26,6,10,0
2021,18,2022-01-09,MIN,Away,L,17,31,-14,6,11,0
2022,1,2022-09-11,SF,Home,W,19,10,9,1,0,0
2022,2,2022-09-18,GB,Away,L,10,27,-17,1,1,0
2022,3,2022-09-25,HOU,Home,W,23,20,3,2,1,0
2022,4,2022-10-02,NYG,Away,L,12,20,-8,2,2,0
2022,5,2022-10-09,MIN,Away,L,22,29,-7,2,3,0
2022,6,2022-10-13,WAS,Home,L,7,12,-5,2,4,0
2022,7,2022-10-24,NE,Away,W,33,14,19,3,4,0
2022,8,2022-10-30,DAL,Away,L,29,49,-20,3,5,0
2022,9,2022-11-06,MIA,Home,L,32,35,-3,3,6,0
2022,10,2022-11-13,DET,Home,L,30,31,-1,3,7,0
2022,11,2022-11-20,ATL,Away,L,24,27,-3,3,8,0
2022,12,2022-11-27,NYJ,Away,L,10,31,-21,3,9,0
2022,13,2022-12-04,GB,Home,L,19,28,-9,3,10,0
2022,15,2022-12-18,PHI,Home,L,20,25,-5,3,11,0
2022,16,2022-12-24,BUF,Home,L,13,35,-22,3,12,0
2022,17,2023-01-01,DET,Away,L,10,41,-31,3,13,0
2022,18,2023-01-08,MIN,Home,L,13,29,-16,3,14,0
2023,1,2023-09-10,GB,Home,L,20,38,-18,0,1,0
2023,2,2023-09-17,TB,Away,L,17,27,-10,0,2,0
2023,3,2023-09-24,KC,Away,L,10,41,-31,0,3,0
2023,4,2023-10-01,DEN,Home,L,28,31,-3,0,4,0
2023,5,2023-10-05,WAS,Away,W,40,20,20,1,4,0
2023,6,2023-10-15,MIN,Home,L,13,19,-6,1,5,0
2023,7,2023-10-22,LV,Home,W,30,12,18,2,5,0
2023,8,2023-10-29,LAC,Away,L,13,30,-17,2,6,0
2023,9,2023-11-05,NO,Away,L,17,24,-7,2,7,0
2023,10,2023-11-09,CAR,Home,W,16,13,3,3,7,0
2023,11,2023-11-19,DET,Away,L,26,31,-5,3,8,0
2023,12,2023-11-27,MIN,Away,W,12,10,2,4,8,0
2023,14,2023-12-10,DET,Home,W,28,13,15,5,8,0
2023,15,2023-12-17,CLE,Away,L,17,20,-3,5,9,0
2023,16,2023-12-24,ARI,Home,W,27,16,11,6,9,0
2023,17,2023-12-31,ATL,Home,W,37,17,20,7,9,0
2023,18,2024-01-07,GB,Away,L,9,17,-8,7,10,0
2024,1,2024-09-08,TEN,Home,W,24,17,7,1,0,0
2024,2,2024-09-15,HOU,Away,L,13,19,-6,1,1,0
2024,3,2024-09-22,IND,Away,L,16,21,-5,1,2,0
2024,4,2024-09-29,LA,Home,W,24,18,6,2,2,0
2024,5,2024-10-06,CAR,Home,W,36,10,26,3,2,0
2024,6,2024-10-13,JAX,Home,W,35,16,19,4,2,0
2024,8,2024-10-27,WAS,Away,L,15,18,-3,4,3,0
2024,9,2024-11-03,ARI,Away,L,9,29,-20,4,4,0
2024,10,2024-11-10,NE,Home,L,3,19,-16,4,5,0
2024,11,2024-11-17,GB,Home,L,19,20,-1,4,6,0
2024,12,2024-11-24,MIN,Home,L,27,30,-3,4,7,0
2024,13,2024-11-28,DET,Away,L,20,23,-3,4,8,0
2024,14,2024-12-08,SF,Away,L,13,38,-25,4,9,0
2024,15,2024-12-16,MIN,Away,L,12,30,-18,4,10,0
2024,16,2024-12-22,DET,Home,L,17,34,-17,4,11,0
2024,17,2024-12-26,SEA,Home,L,3,6,-3,4,12,0
2024,18,2025-01-05,GB,Away,W,24,22,2,5,12,0
2025,1,2025-09-08,MIN,Home,L,24,27,-3,0,1,0
2025,2,2025-09-14,DET,Away,L,21,52,-31,0,2,0
2025,3,2025-09-21,DAL,Home,W,31,14,17,1,2,0
2025,4,2025-09-28,LV,Away,W,25,24,1,2,2,0
2025,6,2025-10-13,WAS,Away,W,25,24,1,3,2,0
2025,7,2025-10-19,NO,Home,W,26,14,12,4,2,0
2025,8,2025-10-26,BAL,Away,L,16,30,-14,4,3,0
2025,9,2025-11-02,CIN,Away,W,47,42,5,5,3,0
2025,10,2025-11-09,NYG,Home,W,24,20,4,6,3,0
2025,11,2025-11-16,MIN,Away,W,19,17,2,7,3,0
2025,12,2025-11-23,PIT,Home,W,31,28,3,8,3,0
2025,13,2025-11-28,PHI,Away,W,24,15,9,9,3,0
2025,14,2025-12-07,GB,Away,L,21,28,-7,9,4,0
2025,15,2025-12-14,CLE,Home,W,31,3,28,10,4,0
2025,16,2025-12-20,GB,Home,W,22,16,6,11,4,0
2025,17,2025-12-28,SF,Away,L,38,42,-4,11,5,0
2025,18,2026-01-04,DET,Home,L,16,19,-3,11,6,0
