Season,Player_Name,Position,Team,Passing_Yards,Passing_TDs,Interceptions_Thrown,Rushing_Yards,Rushing_TDs,Targets,Receptions,Receiving_Yards,Receiving_TDs,Games_Played,Total_Yards,Total_TDs
2016,M.Barkley,QB,CHI,1611,8,14,5,0,1,1,2,1,7,1618,9
2016,J.Howard,RB,CHI,0,0,0,1313,6,50,29,298,1,15,1611,7
2016,B.Hoyer,QB,CHI,1445,6,0,2,0,0,0,0,0,6,1447,6
2016,J.Cutler,QB,CHI,1059,4,5,24,0,0,0,0,0,5,1083,4
2016,C.Meredith,WR,CHI,2,1,0,6,0,97,66,888,4,14,896,5
2016,A.Jeffery,WR,CHI,0,0,0,0,0,94,52,821,2,12,821,2
2016,Z.Miller,TE,CHI,0,0,0,0,0,64,47,486,4,10,486,4
2016,E.Royal,WR,CHI,0,0,0,0,0,43,33,369,2,9,369,2
2016,J.Langford,RB,CHI,0,0,0,200,4,27,19,142,0,12,342,4
2016,J.Bellamy,WR,CHI,0,0,0,37,0,38,19,282,1,12,319,1
2016,D.Thompson,WR,CHI,0,0,0,0,0,36,22,249,2,9,249,2
2016,K.White,WR,CHI,0,0,0,9,0,36,19,187,0,4,196,0
2016,K.Carey,RB,CHI,0,0,0,126,0,7,5,55,0,11,181,0
2016,M.Wilson,WR,CHI,0,0,0,0,0,16,9,160,1,3,160,1
2016,D.Brown,TE,CHI,0,0,0,0,0,20,16,124,1,6,124,1
2016,B.Braunecker,TE,CHI,0,0,0,0,0,6,4,41,0,3,41,0
2016,D.Fales,QB,CHI,22,0,0,0,0,0,0,0,0,1,22,0
2016,L.Paulsen,TE,CHI,0,0,0,0,0,10,3,15,0,7,15,0
2016,B.Addison,WR,CHI,0,0,0,4,0,1,1,11,0,1,15,0
2016,P.Lasike,RB,CHI,0,0,0,8,0,1,1,3,0,4,11,0
2016,J.Bell,RB,CHI,0,0,0,6,0,0,0,0,0,1,6,0
2016,M.Pruitt,TE,CHI,0,0,0,0,0,1,1,6,0,1,6,0
2016,C.Prosinski,S,CHI,0,0,0,2,0,0,0,0,0,1,2,0
2016,D.Braverman,WR,CHI,0,0,0,0,0,2,0,0,0,2,0,0
2017,M.Trubisky,QB,CHI,2193,7,7,255,2,0,0,0,0,12,2448,9
2017,Jo.Howard,RB,CHI,0,0,0,1122,9,32,23,125,0,16,1247,9
2017,M.Glennon,QB,CHI,833,4,5,4,0,0,0,0,0,4,837,4
2017,T.Cohen,RB,CHI,21,1,0,370,2,71,53,356,1,16,747,4
2017,K.Wright,WR,CHI,0,0,0,0,0,92,59,614,1,14,614,1
2017,J.Bellamy,WR,CHI,0,0,0,6,0,46,24,376,1,9,382,1
2017,D.Inman,WR,CHI,0,0,0,0,0,40,23,334,1,7,334,1
2017,B.Cunningham,RB,CHI,0,0,0,29,0,26,20,240,2,11,269,2
2017,Z.Miller,TE,CHI,0,0,0,0,0,35,20,236,2,8,236,2
2017,D.Sims,TE,CHI,0,0,0,0,0,29,15,180,1,12,180,1
2017,T.McBride,WR,CHI,0,0,0,0,0,15,8,144,0,5,144,0
2017,D.Brown,TE,CHI,0,0,0,0,0,20,13,129,0,8,129,0
2017,A.Shaheen,TE,CHI,0,0,0,0,0,14,12,127,3,6,127,3
2017,D.Thompson,WR,CHI,0,0,0,0,0,18,11,125,1,4,125,1
2017,M.Wheaton,WR,CHI,0,0,0,0,0,17,3,51,0,7,51,0
2017,P.O'Donnell,P,CHI,38,1,0,0,0,0,0,0,0,1,38,1
2017,T.Gentry,WR,CHI,0,0,0,0,0,6,3,35,0,4,35,0
2017,M.Burton,FB,CHI,0,0,0,9,0,4,2,8,0,7,17,0
2017,K.White,WR,CHI,0,0,0,0,0,4,2,6,0,1,6,0
2018,M.Trubisky,QB,CHI,3223,24,12,433,3,0,0,0,0,14,3656,27
2018,T.Cohen,RB,CHI,1,1,0,444,3,91,71,725,5,16,1170,9
2018,J.Howard,RB,CHI,0,0,0,935,9,27,20,145,0,16,1080,9
2018,A.Robinson II,,CHI,0,0,0,9,0,95,55,754,4,13,763,4
2018,T.Gabriel,WR,CHI,0,0,0,61,0,93,67,688,2,16,749,2
2018,T.Burton,TE,CHI,0,0,0,2,0,77,54,569,6,16,571,6
2018,C.Daniel,QB,CHI,515,3,2,9,0,1,1,8,0,2,532,3
2018,A.Miller,WR,CHI,8,0,0,26,0,54,33,423,7,14,457,7
2018,J.Bellamy,WR,CHI,0,0,0,0,0,26,14,117,1,13,117,1
2018,T.Mizzell,RB,CHI,0,0,0,16,0,10,8,78,1,8,94,1
2018,K.White,WR,CHI,0,0,0,0,0,8,4,92,0,3,92,0
2018,A.Shaheen,TE,CHI,0,0,0,0,0,7,5,48,1,4,48,1
2018,B.Braunecker,TE,CHI,0,0,0,0,0,5,3,42,0,5,42,0
2018,J.Wims,WR,CHI,0,0,0,0,0,5,4,32,0,2,32,0
2018,B.Cunningham,RB,CHI,0,0,0,20,0,2,1,9,0,5,29,0
2018,D.Sims,TE,CHI,0,0,0,0,0,4,2,9,0,2,9,0
2018,M.Burton,FB,CHI,0,0,0,0,0,1,1,6,0,1,6,0
2018,B.Sowell,TE,CHI,0,0,0,0,0,2,1,2,1,2,2,1
2018,A.Hicks,IDL,CHI,0,0,0,1,1,0,0,0,0,1,1,1
2018,N.Kwiatkoski,LB,CHI,0,0,0,0,0,1,0,0,0,1,0,0
2019,M.Trubisky,QB,CHI,3138,17,10,199,2,0,0,0,0,15,3337,19
2019,A.Robinson,WR,CHI,0,0,0,2,0,154,98,1147,7,16,1149,7
2019,D.Montgomery,RB,CHI,0,0,0,889,6,35,25,185,1,16,1074,7
2019,T.Cohen,RB,CHI,0,0,0,213,0,104,79,456,3,16,669,3
2019,A.Miller,WR,CHI,0,0,0,-1,0,85,52,656,2,16,655,2
2019,C.Daniel,QB,CHI,435,3,2,6,0,0,0,0,0,3,441,3
2019,T.Gabriel,WR,CHI,0,0,0,20,0,48,29,353,4,9,373,4
2019,J.Wims,WR,CHI,0,0,0,0,0,39,18,186,1,11,186,1
2019,C.Patterson,WR,CHI,0,0,0,103,0,17,11,83,0,12,186,0
2019,J.Holtz,TE,CHI,0,0,0,0,0,8,7,91,0,5,91,0
2019,J.Horsted,WR,CHI,0,0,0,0,0,10,8,87,1,5,87,1
2019,T.Burton,TE,CHI,0,0,0,0,0,24,14,84,0,8,84,0
2019,A.Shaheen,TE,CHI,0,0,0,0,0,14,9,74,0,7,74,0
2019,R.Ridley,WR,CHI,0,0,0,0,0,7,6,69,0,3,69,0
2019,B.Braunecker,TE,CHI,0,0,0,0,0,11,6,59,1,4,59,1
2019,M.Davis,RB,CHI,0,0,0,25,0,8,7,22,0,4,47,0
2019,E.Saubert,TE,CHI,0,0,0,0,0,3,2,21,0,2,21,0
2019,R.Nall,RB,CHI,0,0,0,8,0,0,0,0,0,1,8,0
2020,M.Trubisky,QB,CHI,2055,16,8,195,1,0,0,0,0,10,2250,17
2020,N.Foles,QB,CHI,1852,10,8,12,1,0,0,0,0,9,1864,11
2020,D.Montgomery,RB,CHI,0,0,0,1070,8,68,54,438,2,15,1508,10
2020,A.Robinson,WR,CHI,0,0,0,-1,0,151,102,1250,6,16,1249,6
2020,D.Mooney,WR,CHI,0,0,0,20,0,99,61,631,4,16,651,4
2020,A.Miller,WR,CHI,0,0,0,12,0,76,49,485,2,16,497,2
2020,J.Graham,TE,CHI,0,0,0,0,0,76,50,456,8,16,456,8
2020,C.Patterson,WR,CHI,0,0,0,232,1,25,21,132,0,15,364,1
2020,C.Kmet,TE,CHI,0,0,0,-3,0,45,28,243,2,14,240,2
2020,T.Cohen,RB,CHI,0,0,0,74,0,9,6,41,0,3,115,0
2020,R.Nall,RB,CHI,0,0,0,0,0,9,8,67,1,6,67,1
2020,J.Wims,WR,CHI,0,0,0,2,0,12,6,48,1,9,50,1
2020,D.Harris,TE,CHI,0,0,0,0,0,14,7,45,0,7,45,0
2020,T.Ginn,WR,CHI,0,0,0,0,0,6,3,40,0,3,40,0
2020,R.Ridley,WR,CHI,0,0,0,0,0,4,4,39,0,2,39,0
2020,A.Pierce,RB,CHI,0,0,0,34,1,0,0,0,0,3,34,1
2020,T.Bray,QB,CHI,18,0,0,0,0,0,0,0,0,1,18,0
2020,B.Mingo,ED,CHI,0,0,0,11,0,0,0,0,0,1,11,0
2020,L.Miller,RB,CHI,0,0,0,0,0,2,2,6,0,1,6,0
2020,B.Massie,RT,CHI,0,0,0,0,0,1,1,4,0,1,4,0
2020,J.Holtz,TE,CHI,0,0,0,0,0,1,0,0,0,1,0,0
2021,J.Fields,QB,CHI,1870,7,10,426,2,0,0,0,0,12,2296,9
2021,A.Dalton,QB,CHI,1515,8,9,82,0,0,0,0,0,8,1597,8
2021,D.Montgomery,RB,CHI,0,0,1,846,7,51,42,301,0,13,1147,7
2021,D.Mooney,WR,CHI,0,0,0,32,1,141,81,1055,4,17,1087,5
2021,C.Kmet,TE,CHI,0,0,0,0,0,93,60,612,0,17,612,0
2021,K.Herbert,RB,CHI,0,0,0,433,2,16,14,96,0,14,529,2
2021,A.Robinson,WR,CHI,0,0,0,0,0,67,38,410,1,12,410,1
2021,D.Byrd,WR,CHI,0,0,0,0,0,39,26,329,1,11,329,1
2021,M.Goodwin,WR,CHI,0,0,0,-1,0,40,20,313,1,14,312,1
2021,D.Williams,RB,CHI,0,0,0,164,2,23,16,103,1,10,267,3
2021,N.Foles,QB,CHI,250,1,0,9,0,0,0,0,0,1,259,1
2021,J.Grant,WR,CHI,0,0,0,33,0,15,9,139,2,5,172,2
2021,J.Graham,TE,CHI,0,0,0,0,0,24,14,167,3,11,167,3
