Season,Wins,Losses,Ties,Points_For,Points_Against,Point_Differential,Games_Played,Passing_Yards,Rushing_Yards,Total_Offense_Yards,Passing_TDs,Rushing_TDs,Total_TDs,Turnovers,Takeaways,Turnover_Differential
2016,3,13,0,279,399,-120,16,4139,1742,5881,19,10,32,30,12,-18
2017,5,11,0,264,320,-56,16,3085,1795,4880,13,13,32,23,21,-2
2018,12,4,0,421,283,138,16,3747,1956,5703,28,16,51,24,36,12
2019,8,8,0,280,298,-18,16,3573,1464,5037,20,8,29,19,19,0
2020,8,8,0,372,370,2,16,3925,1658,5583,26,12,39,23,17,-6
2021,6,11,0,311,407,-96,17,3635,2028,5663,16,14,32,29,16,-13
2022,3,14,0,326,463,-137,17,2598,3024,5622,19,18,38,25,23,-2
2023,7,10,0,360,379,-19,17,3421,2418,5839,19,16,37,24,29,5
2024,5,12,0,310,370,-60,17,3552,1747,5299,20,13,35,15,25,10
2025,11,6,0,441,415,26,17,3991,2463,6454,28,19,50,11,33,22
