Season,Team,Wins,Losses,Ties,Win_Percentage,Points_For,Points_Against,Point_Differential,Passing_Yards,Rushing_Yards,Total_Offense_Yards,Passing_TDs,Rushing_TDs,Turnovers,Takeaways,Turnover_Differential,Offensive_Rank,Defensive_Rank
2016,NO,7,9,0,0.438,469,454,15,5258,1754,7012,38,17,23,21,-2,1,27
2016,ATL,11,5,0,0.688,540,406,134,4960,1941,6901,38,20,11,20,9,2,26
2016,WAS,8,7,1,0.5,396,383,13,4948,1709,6657,25,17,21,20,-1,3,28
2016,NE,14,2,0,0.875,441,250,191,4456,1892,6348,32,19,8,20,12,4,8
2016,DAL,13,3,0,0.812,421,306,115,3799,2419,6218,25,24,15,19,4,5,13
2016,GB,10,6,0,0.625,432,388,44,4445,1720,6165,40,11,16,24,8,6,23
2016,ARI,7,8,1,0.438,418,362,56,4425,1739,6164,28,20,28,25,-3,7,2
2016,PIT,11,5,0,0.688,399,327,72,4377,1776,6153,33,13,19,21,2,8,14
2016,IND,8,8,0,0.5,411,392,19,4491,1646,6137,32,13,22,17,-5,9,29
2016,LV,12,4,0,0.75,416,385,31,4137,1953,6090,29,17,14,27,13,10,25
2016,SEA,10,5,1,0.625,354,292,62,4422,1611,6033,23,13,18,19,1,11,6
2016,CIN,6,9,1,0.375,325,315,10,4206,1777,5983,18,17,15,21,6,12,17
2016,TEN,9,7,0,0.562,381,378,3,3720,2201,5921,29,16,18,16,-2,13,20
2016,LAC,5,11,0,0.312,410,423,-13,4386,1516,5902,33,10,33,27,-6,14,16
2016,BUF,7,9,0,0.438,399,378,21,3250,2637,5887,17,29,12,17,5,15,19
2016,CHI,3,13,0,0.188,279,399,-120,4139,1742,5881,19,10,29,11,-18,16,15
2016,BAL,8,8,0,0.5,343,321,22,4343,1476,5819,20,10,20,27,7,17,7
2016,TB,9,7,0,0.562,354,369,-15,4165,1636,5801,29,8,27,27,0,18,24
2016,CAR,6,10,0,0.375,369,402,-33,3962,1819,5781,21,16,27,27,0,19,21
2016,KC,12,4,0,0.75,389,311,78,3914,1768,5682,19,15,16,29,13,20,22
2016,DET,9,7,0,0.562,346,358,-12,4327,1319,5646,24,9,14,14,0,21,18
2016,PHI,7,9,0,0.438,367,331,36,3798,1827,5625,16,16,20,25,5,22,12
2016,JAX,3,13,0,0.188,318,400,-82,3925,1638,5563,24,8,26,11,-15,23,4
2016,MIA,10,6,0,0.625,363,380,-17,3716,1829,5545,27,14,21,25,4,24,30
2016,NYG,11,5,0,0.688,310,284,26,4027,1432,5459,26,6,25,24,-1,25,11
2016,NYJ,5,11,0,0.312,275,409,-134,3645,1798,5443,16,10,33,13,-20,26,10
2016,DEN,9,7,0,0.562,333,297,36,3914,1502,5416,20,11,22,24,2,27,3
2016,CLE,1,15,0,0.062,264,452,-188,3693,1714,5407,15,13,25,12,-13,28,31
2016,MIN,8,8,0,0.5,327,307,20,4119,1222,5341,20,9,13,25,12,29,5
2016,HOU,9,7,0,0.562,279,328,-49,3418,1874,5292,15,8,21,17,-4,30,1
2016,SF,2,14,0,0.125,309,480,-171,3166,2029,5195,21,15,21,18,-3,31,32
2016,LA,4,12,0,0.25,224,394,-170,3313,1262,4575,14,9,28,18,-10,32,9
2017,NE,13,3,0,0.812,458,296,162,4619,1903,6522,32,16,12,17,5,1,31
2017,NO,11,5,0,0.688,448,326,122,4334,2092,6426,23,23,16,24,8,2,17
2017,PIT,13,3,0,0.812,406,308,98,4542,1696,6238,29,12,19,22,3,3,6
2017,KC,10,6,0,0.625,415,339,76,4326,1883,6209,26,12,11,24,13,4,28
2017,LAC,9,7,0,0.562,355,272,83,4551,1615,6166,28,10,15,27,12,5,14
2017,PHI,13,3,0,0.812,457,295,162,3967,2133,6100,38,9,18,30,12,6,4
2017,TB,5,11,0,0.312,335,382,-47,4607,1457,6064,26,8,27,22,-5,7,32
2017,ATL,10,6,0,0.625,353,315,38,4146,1857,6003,21,12,17,15,-2,8,9
2017,LA,11,5,0,0.688,478,329,149,4023,1976,5999,28,17,17,27,10,9,19
2017,JAX,10,6,0,0.625,417,268,149,3716,2278,5994,21,18,20,32,12,10,3
2017,MIN,13,3,0,0.812,382,252,130,3929,1983,5912,25,15,14,18,4,11,1
2017,SF,6,10,0,0.375,331,383,-52,4235,1672,5907,15,15,22,18,-4,12,24
2017,DET,9,7,0,0.562,410,376,34,4470,1230,5700,29,10,22,31,9,13,27
2017,SEA,9,7,0,0.562,366,332,34,3979,1629,5608,34,4,17,22,5,14,11
2017,WAS,7,9,0,0.438,342,388,-46,4093,1458,5551,27,10,23,23,0,15,23
2017,DEN,5,11,0,0.312,289,382,-93,3668,1864,5532,19,8,32,17,-15,16,2
2017,DAL,9,7,0,0.562,354,332,22,3326,2178,5504,22,18,19,17,-2,17,10
2017,HOU,4,12,0,0.25,338,436,-98,3644,1845,5489,28,8,28,15,-13,18,20
2017,CAR,11,5,0,0.688,363,327,36,3319,2127,5446,22,15,21,21,0,19,7
2017,ARI,8,8,0,0.5,295,361,-66,3979,1400,5379,21,6,25,20,-5,20,5
2017,LV,6,10,0,0.375,301,373,-72,3761,1564,5325,23,13,27,12,-15,21,22
2017,GB,7,9,0,0.438,320,384,-64,3532,1732,5264,25,13,23,20,-3,22,25
2017,CLE,0,16,0,0.0,234,410,-176,3537,1717,5254,15,11,39,13,-26,23,12
2017,TEN,9,7,0,0.562,334,356,-22,3394,1846,5240,14,18,24,20,-4,24,15
2017,NYG,3,13,0,0.188,246,388,-142,3680,1559,5239,20,6,22,19,-3,25,30
2017,NYJ,5,11,0,0.312,298,382,-84,3501,1717,5218,19,13,22,20,-2,26,21
2017,MIA,6,10,0,0.375,281,393,-112,3792,1395,5187,24,4,28,15,-13,27,16
2017,BAL,9,7,0,0.562,395,303,92,3235,1873,5108,20,14,17,34,17,28,13
2017,BUF,9,7,0,0.562,302,359,-57,3065,2034,5099,16,12,16,24,8,29,26
2017,IND,4,12,0,0.25,263,404,-141,3226,1672,4898,13,11,15,18,3,30,29
2017,CHI,5,11,0,0.312,264,320,-56,3085,1795,4880,13,13,22,20,-2,31,8
2017,CIN,7,9,0,0.438,290,349,-59,3386,1384,4770,25,6,21,14,-7,32,18
2018,KC,12,4,0,0.75,565,421,144,5126,1867,6993,50,16,18,26,8,1,32
2018,LA,13,3,0,0.812,527,384,143,4730,2258,6988,32,23,18,29,11,2,20
2018,TB,5,11,0,0.312,396,464,-68,5358,1532,6890,36,11,35,15,-20,3,26
2018,PIT,9,6,1,0.562,428,360,68,5174,1462,6636,35,16,26,14,-12,4,8
2018,ATL,7,9,0,0.438,414,423,-9,4949,1580,6529,36,11,18,18,0,5,28
2018,NE,11,5,0,0.688,436,325,111,4405,2055,6460,29,18,16,28,12,6,18
2018,IND,10,6,0,0.625,433,344,89,4595,1741,6336,39,13,24,25,1,7,10
2018,GB,6,9,1,0.375,376,400,-24,4629,1673,6302,25,14,10,14,4,8,19
2018,NO,13,3,0,0.812,504,353,151,4174,2050,6224,33,26,16,24,8,9,15
2018,CAR,7,9,0,0.438,376,382,-6,4071,2152,6223,28,17,20,22,2,10,14
2018,LAC,12,4,0,0.75,428,329,99,4316,1887,6203,32,16,17,20,3,11,7
2018,HOU,11,5,0,0.688,402,316,86,4165,2031,6196,26,12,15,26,11,12,13
2018,CLE,7,8,1,0.438,359,392,-33,4261,1905,6166,29,15,23,31,8,13,30
2018,BAL,10,6,0,0.625,389,287,102,3708,2458,6166,18,19,19,17,-2,13,2
2018,SF,4,12,0,0.25,342,435,-93,4247,1917,6164,26,7,30,7,-23,15,12
2018,PHI,9,7,0,0.562,367,348,19,4524,1581,6105,29,12,22,16,-6,16,24
2018,NYG,5,11,0,0.312,369,412,-43,4405,1656,6061,23,13,17,21,4,17,22
2018,SEA,10,6,0,0.625,428,347,81,3448,2572,6020,35,15,11,24,13,18,16
2018,DAL,10,6,0,0.625,339,324,15,3885,1979,5864,22,13,17,20,3,19,6
2018,DEN,6,10,0,0.375,329,349,-20,3930,1916,5846,19,18,21,26,5,20,23
2018,MIN,8,7,1,0.5,360,341,19,4298,1499,5797,30,9,20,19,-1,21,5
2018,CHI,12,4,0,0.75,421,283,138,3747,1956,5703,28,16,24,35,11,22,3
2018,LV,4,12,0,0.25,290,467,-177,4057,1640,5697,19,9,24,17,-7,23,25
2018,DET,6,10,0,0.375,324,360,-36,3844,1670,5514,22,11,19,12,-7,24,11
2018,TEN,9,7,0,0.562,310,303,7,3255,2032,5287,16,15,17,17,0,25,9
2018,CIN,6,10,0,0.375,368,455,-87,3569,1688,5257,27,13,16,18,2,26,31
2018,JAX,5,11,0,0.312,245,316,-71,3431,1729,5160,15,7,28,15,-13,27,4
2018,WAS,7,9,0,0.438,281,359,-78,3287,1782,5069,16,12,19,25,6,28,17
2018,MIA,7,9,0,0.438,319,433,-114,3309,1749,5058,26,7,23,26,3,29,29
2018,BUF,6,10,0,0.375,269,374,-105,3052,1993,5045,13,15,30,26,-4,30,1
2018,NYJ,4,12,0,0.25,333,441,-108,3404,1632,5036,18,11,28,20,-8,31,27
2018,ARI,3,13,0,0.188,225,425,-200,2884,1350,4234,15,9,28,16,-12,32,21
2019,DAL,8,8,0,0.5,434,321,113,4902,2163,7065,30,18,18,17,-1,1,9
2019,BAL,14,2,0,0.875,531,282,249,3350,3313,6663,37,21,14,24,10,2,3
2019,TB,7,9,0,0.438,458,449,9,5127,1534,6661,33,15,40,27,-13,3,16
2019,ATL,7,9,0,0.438,381,399,-18,5049,1373,6422,29,10,23,15,-8,4,17
2019,SF,13,3,0,0.812,479,310,169,4029,2324,6353,28,23,22,25,3,5,2
2019,SEA,11,5,0,0.688,405,398,7,4110,2215,6325,31,15,20,29,9,6,23
2019,KC,12,4,0,0.75,451,308,143,4690,1585,6275,30,16,13,22,9,7,18
2019,TEN,9,7,0,0.562,402,331,71,3956,2240,6196,29,21,16,22,6,8,21
2019,NO,13,3,0,0.812,458,341,117,4431,1758,6189,36,12,7,22,15,9,12
2019,LA,9,7,0,0.562,394,364,30,4669,1512,6181,22,20,24,23,-1,10,13
2019,LAC,5,11,0,0.312,337,345,-8,4648,1460,6108,24,12,29,14,-15,11,5
2019,HOU,10,6,0,0.625,378,385,-7,4083,2020,6103,27,17,21,22,1,12,27
2019,PHI,9,7,0,0.562,385,354,31,4063,1950,6013,27,16,20,19,-1,13,10
2019,LV,7,9,0,0.438,313,419,-106,4110,1900,6010,22,13,16,14,-2,14,19
2019,CAR,5,11,0,0.312,340,470,-130,4134,1824,5958,17,20,32,20,-12,15,25
2019,MIN,10,6,0,0.625,407,303,104,3729,2146,5875,26,19,18,30,12,16,15
2019,NE,12,4,0,0.75,420,225,195,4153,1717,5870,25,17,14,33,19,17,1
2019,DET,3,12,1,0.188,341,423,-82,4187,1658,5845,28,7,22,16,-6,18,31
2019,GB,13,3,0,0.812,376,313,63,4017,1821,5838,26,18,12,25,13,19,20
2019,ARI,5,10,1,0.312,361,442,-81,3797,2007,5804,20,18,18,16,-2,20,32
2019,NYG,4,12,0,0.25,341,451,-110,4070,1690,5760,30,11,33,16,-17,21,24
2019,CLE,6,10,0,0.375,335,393,-58,3847,1907,5754,22,15,27,20,-7,22,22
2019,JAX,6,10,0,0.375,300,397,-97,4023,1720,5743,24,3,18,17,-1,23,26
2019,BUF,10,6,0,0.625,314,259,55,3476,2067,5543,21,13,19,22,3,24,4
2019,CIN,2,14,0,0.125,279,420,-141,3994,1529,5523,18,9,28,16,-12,25,29
2019,IND,7,9,0,0.438,361,373,-12,3314,2144,5458,22,17,19,22,3,26,14
2019,MIA,5,11,0,0.312,306,494,-188,4117,1168,5285,22,10,25,16,-9,27,30
